team,date,time,home-away,type,event,site,subsite,result,score,canceled
coed-field-hockey-varsity,2023-08-24,9:00 AM,A,Scrimmage,North Andover High School,North Andover High School,Upper Turf,,,
coed-field-hockey-junior-varsity,2023-08-24,10:30 AM,A,Scrimmage,North Andover High School,North Andover High School,Upper Turf,,,
boys-soccer-varsity,2023-08-24,10:00 AM,H,Scrimmage,King Philip Regional High School,DeFazio Complex,Turf #2 Brock,,,
boys-soccer-junior-varsity,2023-08-24,10:00 AM,H,Scrimmage,King Philip Regional High School,DeFazio Complex,Conroy Grass,,,
boys-soccer-varsity,2023-08-26,4:00 PM,A,Scrimmage,Pembroke High School,Pembroke High School,,,,
boys-soccer-junior-varsity,2023-08-26,4:00 PM,A,Scrimmage,Pembroke High School,Pembroke High School,,,,
coed-football-varsity,2023-08-26,2:00 PM,H,Scrimmage,Newton South High School,Memorial Park,High School Turf,,,
girls-soccer-varsity,2023-08-28,11:00 AM,H,Scrimmage,Jamboree (Dedham / Wayland),DeFazio Complex,Turf #2 Brock,,,
girls-soccer-junior-varsity,2023-08-28,11:00 AM,H,Scrimmage,Jamboree (Dedham / Wayland),DeFazio Complex,Turf #2 Brock,,,
boys-golf-varsity,2023-08-28,3:30 PM,H,Match,Natick High School,Needham Golf Club,,W,109-97,
boys-soccer-junior-varsity,2023-08-28,3:30 PM,A,Scrimmage,Newton North High School,Warren Field,Grass,,,
boys-soccer-freshman,2023-08-28,3:30 PM,A,Scrimmage,Newton North High School,Warren Field,Grass,,,
boys-golf-varsity,2023-08-29,3:30 PM,H,Match,Weymouth High School,Needham Golf Club,,W,103-93,
girls-volleyball-varsity,2023-08-29,4:30 PM,A,Scrimmage,King Philip Regional High School,King Philip Regional High School,Gym,,,
girls-volleyball-junior-varsity,2023-08-29,4:30 PM,A,Scrimmage,King Philip Regional High School,King Philip Regional High School,Field House,,,
girls-volleyball-freshman,2023-08-29,4:30 PM,A,Scrimmage,King Philip Regional High School,King Philip Regional High School,Field House,,,
girls-volleyball-varsity,2023-08-30,4:00 PM,A,Scrimmage,Girls Volleyball Varsity Play Day,Oliver Ames High School,Nixon Gym,,,
boys-golf-varsity,2023-08-30,3:30 PM,H,Match,Framingham High School,Needham Golf Club,,W,98-75,
boys-soccer-varsity,2023-08-31,3:30 PM,A,Scrimmage,St. Sebastian's School,St. Sebastian's School,,,,
boys-soccer-freshman,2023-08-31,3:30 PM,H,Scrimmage,Brookline High School,High Rock Middle School,Grass,,,
girls-soccer-varsity,2023-08-31,4:00 PM,H,Scrimmage,Brookline High School,DeFazio Complex,Turf #1 Founders,,,
girls-soccer-junior-varsity,2023-08-31,4:00 PM,H,Scrimmage,Brookline High School,Cricket Field,Field #1,,,
coed-football-freshman,2023-09-01,3:00 PM,H,Scrimmage,Wayland High School,Memorial Park,High School Turf,,,
coed-football-varsity,2023-09-01,5:00 PM,H,Scrimmage,Wayland High School,Memorial Park,High School Turf,,,
boys-soccer-varsity,2023-09-02,9:00 AM,H,Scrimmage,Jamboree 9/10/11am Games,DeFazio Complex,All Turf & Conroy Grass,,,
boys-golf-varsity,2023-09-05,3:45 PM,A,League,Framingham High School,Framingham High School,Framingham Country Club,W,98-75,
boys-cross-country-varsity,2023-09-06,4:00 PM,A,League,Weymouth High School,Weymouth High School,Wompatuck State Park,W,24-32,
boys-cross-country-varsity,2023-09-06,4:00 PM,A,League,Braintree High School,Weymouth High School,Wompatuck State Park,L,24-31,
girls-cross-country-varsity,2023-09-06,4:00 PM,A,League,Weymouth High School,Weymouth High School,Wompatuck State Park,W,23-40,
girls-cross-country-varsity,2023-09-06,4:00 PM,A,League,Braintree High School,Weymouth High School,Wompatuck State Park,L,21-36,
coed-field-hockey-freshman,2023-09-06,4:00 PM,A,League,Jamboree (Weymouth / Braintree),Weymouth High School,Wompatuck State Park,,,
coed-field-hockey-varsity,2023-09-06,4:00 PM,A,League,Milton High School,Milton High School,Brooks Field Turf,W,5-3,
boys-soccer-freshman,2023-09-06,4:00 PM,H,League,Milton High School,High Rock Middle School,Field,,,
girls-soccer-freshman,2023-09-06,4:00 PM,A,League,Milton High School,Milton High School,Gile Grass,,,
coed-field-hockey-junior-varsity,2023-09-06,5:15 PM,A,League,Milton High School,Milton High School,Brooks Field Turf,,,
boys-soccer-junior-varsity,2023-09-07,4:00 PM,H,League,Milton High School,Cricket Field,Field #2,,,
boys-soccer-varsity,2023-09-07,4:00 PM,H,League,Milton High School,Cricket Field,Field #1,W,5-0,
girls-volleyball-varsity,2023-09-07,4:00 PM,A,League,Milton High School,Milton High School,Copeland Field House,,,
girls-soccer-junior-varsity,2023-09-07,5:00 PM,A,League,Milton High School,Milton High School,Gile Grass,,,
girls-volleyball-freshman,2023-09-07,5:30 PM,A,League,Milton High School,Milton High School,Copeland Field House,,,
girls-volleyball-junior-varsity,2023-09-07,5:30 PM,A,League,Milton High School,Milton High School,Copeland Field House,,,
girls-soccer-varsity,2023-09-07,7:00 PM,A,League,Milton High School,Milton High School,Brooks Field Turf,L,0-1,
coed-football-freshman,2023-09-08,4:00 PM,A,League,Natick High School,Natick High School,#1,,,TRUE
boys-soccer-freshman,2023-09-08,4:15 PM,A,Non-League,Concord-Carlisle High School,Concord-Carlisle High School,Emerson Field Track,,,
girls-soccer-freshman,2023-09-08,4:15 PM,A,Non-League,Concord-Carlisle High School,Concord-Carlisle High School,Emerson Park #2,,,
coed-football-varsity,2023-09-08,6:30 PM,H,League,Natick High School,Memorial Park,High School Turf,W,14-6,
girls-cross-country-varsity,2023-09-09,9:00 AM,A,Non-League,MSTCA XC Relays,Highland Park (Attleboro),,,,
boys-cross-country-varsity,2023-09-09,9:00 AM,A,Non-League,MSTCA XC Relays,Highland Park (Attleboro),,,,
coed-field-hockey-varsity,2023-09-09,4:00 PM,A,Non-League,Andover High School,Andover High School,Lovely Stadium Turf,,,TRUE
boys-soccer-junior-varsity,2023-09-09,4:00 PM,H,League,Oliver Ames High School,Memorial Park,High School Turf,,,TRUE
coed-field-hockey-junior-varsity,2023-09-09,5:30 PM,A,Non-League,Andover High School,Andover High School,Lovely Stadium Turf,,,TRUE
boys-soccer-varsity,2023-09-09,6:00 PM,H,League,Oliver Ames High School,Memorial Park,High School Turf,W,1-0,
boys-golf-varsity,2023-09-11,3:30 PM,H,League,Walpole High School,Needham Golf Club,Needham Golf Club,,,TRUE
boys-soccer-freshman,2023-09-11,3:45 PM,A,League,Weymouth High School,Weymouth Lovell Field,Field #2,,,TRUE
coed-field-hockey-varsity,2023-09-11,4:00 PM,A,League,Weymouth High School,Legion Field (Weymouth),Multipurpose Turf Field,W,6-0,
coed-football-junior-varsity,2023-09-11,4:00 PM,H,League,Natick High School,Memorial Park,High School Turf,,,
girls-soccer-freshman,2023-09-11,4:00 PM,A,League,Weymouth High School,Weymouth Lovell Field,Field #1,,,TRUE
coed-field-hockey-freshman,2023-09-11,4:30 PM,H,Non-League,Lincoln-Sudbury Regional High School,DeFazio Complex,Turf #1 Founders,,,
boys-soccer-freshman,2023-09-11,4:30 PM,A,League,Lincoln-Sudbury Regional High School,Lincoln-Sudbury Regional High School,Grass Field #3,,,
girls-volleyball-freshman,2023-09-11,4:30 PM,A,Non-League,Concord-Carlisle High School,Lincoln-Sudbury Regional High School,Hayes Gymnasium,,,
girls-volleyball-junior-varsity,2023-09-11,4:30 PM,A,Non-League,Concord-Carlisle High School,Lincoln-Sudbury Regional High School,Hayes Gymnasium,,,
girls-soccer-junior-varsity,2023-09-11,4:30 PM,H,Non-League,Concord-Carlisle High School,Cricket Field,Field #1,,,TRUE
coed-field-hockey-junior-varsity,2023-09-11,5:15 PM,A,League,Weymouth High School,Legion Field,Multipurpose Turf Field,,,TRUE
girls-volleyball-varsity,2023-09-11,6:00 PM,A,Non-League,Concord-Carlisle High School,Lincoln-Sudbury Regional High School,Hayes Gymnasium,W,3-2,
girls-soccer-varsity,2023-09-11,7:00 PM,H,Non-League,Concord-Carlisle High School,Memorial Park,High School Turf,,,TRUE
boys-golf-varsity,2023-09-12,3:30 PM,H,League,Newton North High School,Needham Golf Club,Needham Golf Club,W,107-81,
boys-soccer-junior-varsity,2023-09-12,5:15 PM,H,League,Lincoln-Sudbury Regional High School,DeFazio Complex,Turf #1 Brock,,,
boys-soccer-varsity,2023-09-12,6:45 PM,H,League,Lincoln-Sudbury Regional High School,DeFazio Complex,Turf #1 Brock,T,0-0,
girls-swim-and-dive-varsity,2023-09-12,7:00 PM,H,League,Walpole High School,Babson College,Morse Swimming Pool,W,87-48,
coed-field-hockey-freshman,2023-09-13,4:00 PM,A,League,Brookline High School,Harry Downes Field,Turf Field,,,
coed-field-hockey-varsity,2023-09-13,4:00 PM,H,League,Brookline High School,DeFazio Complex,Turf #1 Founders,,,TRUE
boys-soccer-freshman,2023-09-13,4:00 PM,A,League,Brookline High School,Brookline Avenue Playground,Field,,,TRUE
girls-soccer-freshman,2023-09-13,4:00 PM,H,League,Brookline High School,Cricket Field,Field #1,,,
girls-soccer-junior-varsity,2023-09-13,4:00 PM,A,League,Weymouth High School,Weymouth High School,#2,,,
girls-volleyball-varsity,2023-09-13,4:00 PM,A,League,Weymouth High School,Weymouth High School,Gym,W,3-1,
coed-field-hockey-junior-varsity,2023-09-13,5:15 PM,H,League,Brookline High School,DeFazio Complex,Turf #1 Founders,,,
girls-soccer-varsity,2023-09-13,5:15 PM,A,League,Weymouth High School,Weymouth High School,Stadium,,,
girls-volleyball-freshman,2023-09-13,5:30 PM,A,League,Weymouth High School,Weymouth High School,Gym,,,
girls-volleyball-junior-varsity,2023-09-13,5:30 PM,A,League,Weymouth High School,Weymouth High School,Gym,,,
boys-golf-varsity,2023-09-14,3:45 PM,A,League,Walpole High School,Walpole Country Club,Walpole Coutry Club,W,85-75,
boys-soccer-varsity,2023-09-14,4:00 PM,H,League,Weymouth High School,DeFazio Complex,Turf #2 Brock,W,3-0,
coed-football-freshman,2023-09-14,4:30 PM,A,League,Lincoln-Sudbury Regional High School,Lincoln-Sudbury Regional High School,Grass Field #4,,,
boys-soccer-junior-varsity,2023-09-14,5:45 PM,H,League,Weymouth High School,DeFazio Complex,Turf #2 Brock,,,
coed-football-varsity,2023-09-14,6:30 PM,H,League,Lincoln-Sudbury Regional High School,Memorial Park,High School Turf,W,14-13,
boys-golf-varsity,2023-09-18,3:30 PM,A,League,Braintree High School,Braintree Municipal Golf Course,,,,TRUE
coed-field-hockey-freshman,2023-09-18,4:00 PM,H,League,Braintree High School,DeFazio Complex,Turf #1 Founders,,,
coed-field-hockey-varsity,2023-09-18,4:00 PM,A,League,Braintree High School,Braintree High School,Back Turf Field,W,1-0,
boys-soccer-freshman,2023-09-18,4:00 PM,H,League,Braintree High School,High Rock Middle School,,,,TRUE
girls-soccer-freshman,2023-09-18,4:00 PM,A,League,Braintree High School,Braintree High School,Freshman Field,,,TRUE
boys-soccer-junior-varsity,2023-09-18,4:30 PM,H,Non-League,Lincoln-Sudbury Regional High School,Cricket Field,Field #1,,,TRUE
coed-football-junior-varsity,2023-09-18,5:00 PM,H,Non-League,Lincoln-Sudbury Regional High School,Memorial Park,High School Turf,,,
coed-field-hockey-junior-varsity,2023-09-18,5:15 PM,A,League,Braintree High School,Braintree High School,Back Turf Field,,,
boys-golf-varsity,2023-09-19,3:30 PM,H,League,Braintree High School,Needham Golf Club,,W,96-82,
coed-field-hockey-middle-school-1,2023-09-19,4:00 PM,H,Game,Wilson Middle School (Natick),Pollard Middle School,Field,,,
boys-soccer-junior-varsity,2023-09-19,4:00 PM,A,League,Brookline High School,Brookline Warren Field,Warren Field,,-,
boys-soccer-varsity,2023-09-19,4:00 PM,A,League,Brookline High School,Skyline Park,Turf,W,2-0,
girls-soccer-junior-varsity,2023-09-19,4:00 PM,H,League,Brookline High School,Cricket Field,Field #1,,,
girls-soccer-varsity,2023-09-19,4:00 PM,H,League,Brookline High School,DeFazio Complex,Turf #2 Brock,W,2-0,
girls-volleyball-varsity,2023-09-19,4:00 PM,H,League,Brookline High School,Needham High School,A Gym,L,1-3,
girls-swim-and-dive-varsity,2023-09-19,4:30 PM,A,League,Milton High School,Blue Hills Regional Technical School,Swimming Pool,L,91-95,
girls-volleyball-freshman,2023-09-19,5:30 PM,H,League,Brookline High School,Needham High School,B Gym,,,
girls-volleyball-junior-varsity,2023-09-19,5:30 PM,H,League,Brookline High School,Needham High School,A Gym,,,
boys-cross-country-varsity,2023-09-20,4:00 PM,H,League,Brookline High School,Cutler Park,,,,
girls-cross-country-varsity,2023-09-20,4:00 PM,H,League,Brookline High School,Cutler Park,,W,24-37,
coed-field-hockey-freshman,2023-09-20,4:00 PM,A,League,Walpole High School,Walpole High School,Grass Field Hockey Field,,,
coed-field-hockey-varsity,2023-09-20,4:00 PM,H,League,Walpole High School,DeFazio Complex,Turf #1 Founders,L,1-4,
coed-field-hockey-middle-school-1,2023-09-20,4:00 PM,H,Game,Needham 2,Pollard Middle School,Field,,,
coed-field-hockey-middle-school-2,2023-09-20,4:00 PM,H,Game,Needham 1,Pollard Middle School,Field,,,
boys-soccer-freshman,2023-09-20,4:00 PM,A,League,Walpole High School,Bird Middle School (Walpole),,,,
girls-soccer-freshman,2023-09-20,4:00 PM,H,League,Walpole High School,Cricket Field,Field #1,,,
girls-volleyball-middle-school-blue,2023-09-20,4:00 PM,H,Match,Weston Middle School,Weston Middle School,Gym,,,
girls-volleyball-middle-school-gold,2023-09-20,4:00 PM,A,Match,Wellesley Middle School,Wellesley Middle School,Gym,,,
coed-field-hockey-junior-varsity,2023-09-20,5:15 PM,H,League,Walpole High School,DeFazio Complex,Turf #1 Founders,,,
boys-golf-varsity,2023-09-21,3:30 PM,A,League,Newton North High School,Brae Burn Country Club,Golf Course,L,82-90,
boys-soccer-junior-varsity,2023-09-21,4:00 PM,H,League,Braintree High School,DeFazio Complex,Conroy Grass,,,
boys-soccer-varsity,2023-09-21,4:00 PM,H,League,Braintree High School,DeFazio Complex,Turf #2 Brock,W,6-0,
girls-soccer-junior-varsity,2023-09-21,4:00 PM,A,League,Braintree High School,Braintree High School,Junior Varsity Field,,-,
girls-soccer-varsity,2023-09-21,4:00 PM,A,League,Braintree High School,Braintree High School,Alumni Stadium,T,0-0,
girls-volleyball-varsity,2023-09-21,4:00 PM,H,League,Braintree High School,Needham High School,A Gym,W,3-0,
girls-volleyball-middle-school-blue,2023-09-21,4:00 PM,A,Match,Pierce Middle School (Milton),Pierce Middle School,Gym,,,
girls-volleyball-freshman,2023-09-21,5:30 PM,H,League,Braintree High School,Needham High School,B Gym,,,
girls-volleyball-junior-varsity,2023-09-21,5:30 PM,H,League,Braintree High School,Needham High School,A Gym,,,
coed-field-hockey-varisty,2023-09-22,4:00 PM,H,Non-League,Dover-Sherborn High School,DeFazio Complex,Turf #1 Founders,,,
boys-soccer-freshman,2023-09-22,4:00 PM,A,League,Brookline High School,Brookline Avenue Playground,,,,
coed-football-freshman,2023-09-22,4:00 PM,H,League,Newton North High School,Needham Memorial Park,High School Turf,,,
girls-volleyball-freshman,2023-09-22,4:00 PM,H,Non-League,Barnstable High School,Needham High School,B Gym,,,
girls-volleyball-junior-varsity,2023-09-22,4:00 PM,H,Non-League,Barnstable High School,Needham High School,A Gym,,,
girls-volleyball-middle-school-gold,2023-09-22,4:00 PM,H,Match,Wellesley Middle School,Wellesley Middle School,Gym,,,
coed-field-hockey-junior-varsity,2023-09-22,5:15 PM,H,Non-League,Dover-Sherborn High School,DeFazio Complex,Turf #1 Founders,,,
girls-volleyball-varsity,2023-09-22,5:30 PM,H,Non-League,Barnstable High School,Needham High School,A Gym,,,
coed-football-varsity,2023-09-22,6:00 PM,A,League,Newton North High School,Newton North High School,Dickinson Stadium,,,
coed-football-junior-varsity,2023-09-23,10:00 AM,A,League,Newton North High School,Newton North High School,Dickinson Stadium,,,
boys-soccer-varsity,2023-09-23,10:00 AM,A,Non-League,St.Johns Preparatory School,Concord Carlisle High School,Doug White Turf #1,,,
cross-country-girls,2023-09-23,9:00 AM,A,Non-League,Manchester Invite,Derryfield Park (Manchester, NH),,,,
boys-cross-country-varsity,2023-09-23,9:00 AM,A,Non-League,Manchester Invite,Derryfield Park (Manchester, NH),,,,
boys-golf-varsity,2023-09-26,3:30 PM,H,League,Milton High School,Needham Golf Club,,W,97-91,
coed-field-hockey-middle-school-2,2023-09-26,4:00 PM,H,Game,St. John's Middle School,Pollard Middle School,Field,,,
coed-field-hockey-freshman,2023-09-26,4:00 PM,A,League,Natick High School,Kennedy Middle School,Multipurpose Turf Field,,,
boys-soccer-freshman,2023-09-26,4:00 PM,A,League,Natick High School,Natick High School,#1,,,
girls-soccer-freshman,2023-09-26,4:00 PM,H,League,Natick High School,Cricket Field,Field #1,,,
coed-field-hockey-varsity,2023-09-26,4:00 PM,H,League,Natick High School,DeFazio Complex,Turf #1 Founders,W,5-1,
coed-field-hockey-junior-varsity,2023-09-26,5:15 PM,H,League,Natick High School,DeFazio Complex,Turf #1 Founders,,,
girls-swim-and-dive-varsity,2023-09-26,5:30 PM,A,League,Braintree High School,Blue Hills Regional Technical School,Swimming Pool,W,101-76,
coed-field-hockey-varsity,2023-09-27,3:45 PM,A,Non-League,Medfield High School,Medfield High School,Turf,W,4-0,
boys-soccer-junior-varsity,2023-09-27,4:00 PM,A,League,Walpole High School,Walpole SWCAF Complex,Field #2,,,
girls-volleyball-middle-school-gold,2023-09-27,4:00 PM,A,Match,Wilson Middle School (Natick),Wilson Middle School,Gym,,,
coed-field-hockey-middle-school-1,2023-09-27,4:00 PM,A,Game,Wilson Middle School (Natick),Wilson Middle School,,,,
coed-field-hockey-middle-school-2,2023-09-27,4:00 PM,A,Game,Kennedy Middle School (Natick),Kennedy Middle School,,,,
girls-soccer-junior-varsity,2023-09-27,4:00 PM,H,League,Walpole High School,Cricket Field,Field #1,,,
boys-soccer-varsity,2023-09-27,4:00 PM,A,League,Walpole High School,Walpole SWCAF Complex,Field #1,W,4-1,
girls-soccer-varsity,2023-09-27,4:00 PM,H,League,Walpole High School,DeFazio Complex,#1,W,4-0,
girls-volleyball-varsity,2023-09-27,4:00 PM,H,League,Walpole High School,Needham High School,A Gym,W,3-0,
boys-cross-country-varsity,2023-09-27,4:00 PM,A,League,Milton High School,Houghton's Pond,XC Course,,,
girls-cross-country-varsity,2023-09-27,4:00 PM,A,League,Milton High School,Houghton's Pond,XC Course,W,15-47,
boys-cross-country-varsity,2023-09-27,4:00 PM,A,League,Walpole High School,Houghton's Pond,XC Course,,,
girls-cross-country-varsity,2023-09-27,4:00 PM,A,League,Walpole High School,Houghton's Pond,XC Course,W,22-37,
coed-coed-unified-basketball,2023-09-27,4:30 PM,A,League,Newton North High School,Newton North High School,Reggie Gym,,,
coed-field-hockey-junior-varsity,2023-09-27,5:15 PM,A,Non-League,Medfield Senior High School,Medfield High School,Turf,,,
girls-volleyball-junior-varsity,2023-09-27,5:30 PM,H,League,Walpole High School,Needham High School,A Gym,,,
girls-volleyball-freshman,2023-09-27,5:30 PM,H,League,Walpole High School,Needham High School,B Gym,,,
boys-golf-varsity,2023-09-28,3:30 PM,A,League,Milton High School,Milton Hoosic Club,,W,103-93,
cross-country-middle-school,2023-09-28,4:00 PM,H,Meet,Kennedy Middle School (Natick),DeFazio Complex,XC Course,,,
girls-volleyball-middle-school-gold,2023-09-28,4:00 PM,H,Match,Needham 2,Pollard Middle School,Gym,,,
girls-volleyball-middle-school-blue,2023-09-28,4:00 PM,H,Match,Needham 1,Pollard Middle School,Gym,,,
coed-field-hockey-freshman,2023-09-28,4:30 PM,A,Non-League,Lincoln-Sudbury Regional High School,Lincoln-Sudbury Regional High School,Grass Field #3,,,
girls-soccer-junior-varsity,2023-09-29,4:00 PM,H,Non-League,Dover-Sherborn High School,DeFazio Complex,Turf #1 Founders,,,
boys-soccer-freshman,2023-09-29,4:00 PM,H,League,Concord-Carlisle High School,High Rock Middle School,Field,,,TRUE
girls-soccer-freshman,2023-09-29,4:00 PM,H,League,Concord-Carlisle High School,Cricket Field,Field #1,,,TRUE
girls-soccer-varsity,2023-09-29,4:00 PM,H,Non-League,Dover-Sherborn High School,DeFazio Complex,Turf #2 Brock,T,0-0,
coed-field-hockey-middle-school-1,2023-09-29,4:00 PM,H,Game,Wellesley Middle School,Pollard Middle School,Field,,,TRUE
boys-soccer-junior-varsity,2023-09-29,4:00 PM,H,Non-League,Brookline High School,DeFazio Complex,Conroy Grass,,,TRUE
girls-swim-and-dive-varsity,2023-09-29,4:30 PM,A,League,Acton-Boxborough Regional High School,Acton-Boxborough Regional High School,Swimming Pool,W,105.5-78.5,
boys-soccer-varsity,2023-09-29,6:00 PM,H,Non-League,Brookline High School,DeFazio Complex,Turf #2 Brock,W,2-1,
coed-field-hockey-varsity,2023-09-29,6:00 PM,A,Non-League,Endowment Game (Bishop Feehan High School),Bishop Feehan High School,McGrath Stadium,L,2-3,
coed-football-varsity,2023-09-29,6:30 PM,H,League,Walpole High School,Memorial Park,High School Turf,W,21-19,
coed-football-freshman,2023-09-30,9:00 AM,A,League,Walpole High School,Walpole High School,Turco Field,,,
